uniquename	WZ0AFEAA	ERS1887582	ERS1887583
FRAEX38873_v2_000000010.1	71	109	18310
FRAEX38873_v2_000000020.1	155	643	341
FRAEX38873_v2_000000030.1	79	17	649
FRAEX38873_v2_000000040.1	925	45	116
FRAEX38873_v2_000000050.1	401	54	20
FRAEX38873_v2_000000060.1	37	1379	1063
FRAEX38873_v2_000000070.1	75	93	29
FRAEX38873_v2_000000080.1	112	21	119
FRAEX38873_v2_000000090.1	59	13	21
FRAEX38873_v2_000000140.1	130	47	312
FRAEX38873_v2_000000100.2	101	8	159
FRAEX38873_v2_000000110.1	380	40	271
FRAEX38873_v2_000000120.1	35	4	43
FRAEX38873_v2_000000130.1	18	2963	194
FRAEX38873_v2_000000150.1	5856	57	136
FRAEX38873_v2_000000160.1	46	14	130
FRAEX38873_v2_000000170.1	237	224	53
FRAEX38873_v2_000000180.1	80	159	68
FRAEX38873_v2_000000190.1	67	336	335
FRAEX38873_v2_000000200.1	28	120	52
FRAEX38873_v2_000000210.1	132	271	40
FRAEX38873_v2_000000220.1	356	122	1179
FRAEX38873_v2_000000230.1	201	651	60
FRAEX38873_v2_000000240.1	633	426	175
FRAEX38873_v2_000000250.1	206	553	87
FRAEX38873_v2_000000260.1	389	1123	375
FRAEX38873_v2_000000270.1	73	79	85
FRAEX38873_v2_000000280.1	64	328	70
FRAEX38873_v2_000000290.1	57	30	115
FRAEX38873_v2_000000300.1	8	188	77
FRAEX38873_v2_000000310.1	111	219	72
FRAEX38873_v2_000000320.1	399	136	134
FRAEX38873_v2_000000330.1	854	59	94
FRAEX38873_v2_000000340.1	28	374	62
FRAEX38873_v2_000000350.1	88	491	104
FRAEX38873_v2_000000360.2	133	601	126
FRAEX38873_v2_000000370.1	44	81	19
FRAEX38873_v2_000000380.1	24	20	37
FRAEX38873_v2_000000390.1	122	89	57
FRAEX38873_v2_000000400.1	199	103	140
FRAEX38873_v2_000000410.1	81	143	101
FRAEX38873_v2_000000420.1	68	150	46
FRAEX38873_v2_000000430.1	23	105	58
FRAEX38873_v2_000000440.1	7	48	1
FRAEX38873_v2_000000450.1	955	146	110
FRAEX38873_v2_000000460.2	558	65	95
FRAEX38873_v2_000000470.1	22	114	60
FRAEX38873_v2_000000510.1	74	116	42
FRAEX38873_v2_000000480.2	21	126	176
FRAEX38873_v2_000000490.1	23	162	62
FRAEX38873_v2_000000500.1	351	56	712
FRAEX38873_v2_000000530.1	122	72	222
FRAEX38873_v2_000000520.1	981	145	3
FRAEX38873_v2_000000540.1	2	7376	28
FRAEX38873_v2_000000550.1	0	59	121
FRAEX38873_v2_000000560.1	1041	45	453
FRAEX38873_v2_000000570.1	380	222	532
FRAEX38873_v2_000000580.1	94	11	772
FRAEX38873_v2_000000590.1	544	547	80
FRAEX38873_v2_000000600.1	785	294	29
FRAEX38873_v2_000000660.2	170	4288	31
FRAEX38873_v2_000000610.1	29	7	1080
FRAEX38873_v2_000000630.1	1047	4547	65
FRAEX38873_v2_000000640.1	169	49	171
FRAEX38873_v2_000000650.1	251	108	205
FRAEX38873_v2_000000670.1	470	161	9
FRAEX38873_v2_000000680.1	60	60	78
FRAEX38873_v2_000000690.1	181	170	89
FRAEX38873_v2_000000700.1	429	285	62
FRAEX38873_v2_000000720.1	71	428	44
FRAEX38873_v2_000000730.1	75	7	89
FRAEX38873_v2_000000740.2	180	1	17
FRAEX38873_v2_000000760.1	342	191	250
FRAEX38873_v2_000000770.1	92	33	1026
FRAEX38873_v2_000000780.1	129	73	348
FRAEX38873_v2_000000790.1	100	356	17
FRAEX38873_v2_000000800.1	49	236	93
FRAEX38873_v2_000000810.1	39	203	39
FRAEX38873_v2_000000820.1	1	102	40
FRAEX38873_v2_000000830.1	283	21	62
FRAEX38873_v2_000000850.2	12	92	245
FRAEX38873_v2_000000860.1	50	46	38
FRAEX38873_v2_000000870.1	8	777	31
FRAEX38873_v2_000000880.1	1178	17	1539
FRAEX38873_v2_000000890.1	20	152	89
FRAEX38873_v2_000000900.1	126	923	8
FRAEX38873_v2_000000910.1	113	26	617
FRAEX38873_v2_000001130.1	1259	98	29
FRAEX38873_v2_000000920.1	2866	36	74
FRAEX38873_v2_000000930.1	125	289	19
FRAEX38873_v2_000000940.1	3	51	0
FRAEX38873_v2_000000950.1	170	179	47
FRAEX38873_v2_000000960.1	99	12	82
FRAEX38873_v2_000000970.1	18	74	20
FRAEX38873_v2_000000980.1	93	187	112
FRAEX38873_v2_000000990.1	55	174	137
FRAEX38873_v2_000001020.1	116	40	16
FRAEX38873_v2_000001000.1	36	109	3
FRAEX38873_v2_000001010.1	137	162	1066
FRAEX38873_v2_000001030.1	401	20	226
FRAEX38873_v2_000001040.1	295	174	77
FRAEX38873_v2_000001050.1	89	13	111
FRAEX38873_v2_000001060.1	859	51	140
FRAEX38873_v2_000001070.1	107	32	60
FRAEX38873_v2_000001080.1	12	72	179
FRAEX38873_v2_000001090.1	70	112	54
FRAEX38873_v2_000001100.1	281	164	68
